0 10
0 13
0 9
0 32
10 1
10 9
10 14
10 15
10 13
10 18
10 29
10 25
13 9
1 6
1 25
6 41
6 43
6 11
6 25
2 3
2 8
3 8
3 4
3 16
3 33
4 31
4 16
31 20
31 24
31 30
31 36
31 16
5 7
5 34
41 11
41 43
41 14
41 15
41 25
41 28
43 11
43 25
43 15
11 14
11 25
25 18
25 28
25 29
25 15
9 14
9 32
14 15
14 35
32 28
32 29
18 16
18 17
18 23
18 29
18 35
18 40
18 20
18 22
29 26
29 28
29 40
29 35
16 17
16 20
16 21
16 23
16 26
17 34
20 21
20 23
20 30
20 39
20 36
21 30
21 33
21 23
21 24
21 42
23 22
23 27
23 24
34 27
34 36
30 24
30 33
30 36
33 36
33 38
33 42
24 26
24 27
42 38
22 49
28 26
26 27
35 37
35 40
37 40
39 44
39 45
39 46
44 45
44 46
45 48
45 47
45 46
48 47
